id,code_INSEE,annee,mois,jour,heure,tmax_med
60,12226,2015,Mar,11,13,18.9
61,12228,2018,Jul,9,16,17.0
62,12240,2012,Mar,2,14,15.0
63,12275,2013,Jul,13,13,14.8
64,12291,2022,Jun,15,15,14.6
65,13001,2012,Jul,23,15,19.4
66,13001,2016,Aug,1,15,19.4
67,13001,2017,Aug,1,14,19.4
68,13002,2013,Oct,22,19,17.8
69,13005,2015,Aug,17,16,20.7
70,13005,2020,Aug,4,17,20.7
71,13005,2022,Mar,26,15,20.7
72,13007,2021,Apr,6,16,21.1
73,13019,2022,Aug,2,16,19.4
74,13026,2016,Jul,13,21,19.4
75,13033,2020,Sep,19,19,19.4
